Dataset: ba_1k_m5
Vertices: 1000
Edges: 4975
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 20.287711
Runtime (seconds): 0.000000
Memory Usage (MB): 0.07

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	1	1.000000
2	11	0.975104
3	7	0.891118
4	9	0.873883
5	3	0.724320
6	10	0.704019
7	15	0.653300
8	13	0.647766
9	8	0.585420
10	5	0.553132
11	12	0.549389
12	6	0.542925
13	17	0.518748
14	31	0.452179
15	16	0.443826
16	26	0.406541
17	25	0.395837
18	20	0.370381
19	24	0.353697
20	14	0.353507
21	18	0.345122
22	32	0.344460
23	21	0.339334
24	81	0.336981
25	28	0.319847
26	38	0.314504
27	37	0.307602
28	33	0.291526
29	27	0.288682
30	48	0.288098
31	22	0.285958
32	41	0.272437
33	19	0.270090
34	29	0.262454
35	23	0.247567
36	39	0.246567
37	76	0.238047
38	49	0.228932
39	43	0.227287
40	62	0.222670
41	42	0.218883
42	30	0.216485
43	67	0.214301
44	58	0.213463
45	55	0.210934
46	73	0.202406
47	110	0.199225
48	130	0.194683
49	59	0.193693
50	34	0.190336
51	111	0.187995
52	56	0.187532
53	47	0.186512
54	45	0.184194
55	63	0.183084
56	116	0.182269
57	40	0.181939
58	54	0.181291
59	132	0.181238
60	100	0.179447
61	61	0.179058
62	71	0.177192
63	36	0.176597
64	102	0.176230
65	69	0.176201
66	57	0.175834
67	2	0.173474
68	46	0.170638
69	77	0.170181
70	200	0.169922
71	70	0.169145
72	51	0.169030
73	50	0.168902
74	134	0.167283
75	322	0.166786
76	64	0.166570
77	416	0.165912
78	181	0.165114
79	129	0.164815
80	108	0.163816
81	66	0.162658
82	35	0.160907
83	166	0.159930
84	44	0.159730
85	475	0.158726
86	197	0.158585
87	145	0.158478
88	209	0.158326
89	558	0.157960
90	162	0.157883
91	84	0.157041
92	171	0.156505
93	53	0.156229
94	219	0.156196
95	65	0.154313
96	103	0.153811
97	86	0.153391
98	99	0.152538
99	74	0.151603
100	92	0.151207
