Dataset: ws_1k_k10_p03
Vertices: 1000
Edges: 5000
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 10.288648
Runtime (seconds): 0.003000
Memory Usage (MB): 0.07

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	725	1.000000
2	514	0.953926
3	31	0.911594
4	713	0.894004
5	720	0.892459
6	16	0.883823
7	409	0.877306
8	715	0.847382
9	995	0.841973
10	477	0.828826
11	127	0.812606
12	125	0.803550
13	179	0.799247
14	121	0.795338
15	404	0.777987
16	718	0.775354
17	30	0.769741
18	460	0.766658
19	81	0.766473
20	859	0.766004
21	980	0.765609
22	850	0.764133
23	862	0.762789
24	620	0.760706
25	998	0.754386
26	815	0.753551
27	130	0.753237
28	717	0.750462
29	727	0.748655
30	408	0.747422
31	511	0.741287
32	14	0.739490
33	459	0.736425
34	860	0.735929
35	391	0.732628
36	861	0.730222
37	4	0.729318
38	182	0.726502
39	724	0.725066
40	394	0.721846
41	723	0.720500
42	24	0.720391
43	722	0.719211
44	39	0.716021
45	562	0.705378
46	712	0.704743
47	618	0.703657
48	678	0.703368
49	728	0.702755
50	683	0.702745
51	126	0.702673
52	945	0.701547
53	992	0.700411
54	849	0.699189
55	71	0.695340
56	513	0.695207
57	679	0.693618
58	267	0.693299
59	756	0.692729
60	296	0.692156
61	198	0.690956
62	648	0.690409
63	413	0.689645
64	358	0.688531
65	721	0.688059
66	122	0.686734
67	726	0.685762
68	730	0.683132
69	10	0.682502
70	416	0.682215
71	996	0.682063
72	123	0.681799
73	858	0.681633
74	851	0.681116
75	814	0.681087
76	258	0.680144
77	20	0.679816
78	561	0.678664
79	619	0.677474
80	56	0.677237
81	566	0.677089
82	994	0.676420
83	21	0.675858
84	863	0.675029
85	507	0.673613
86	999	0.672517
87	80	0.671290
88	405	0.670740
89	11	0.670670
90	855	0.669239
91	406	0.668833
92	461	0.668228
93	457	0.663922
94	759	0.659399
95	196	0.659016
96	72	0.657047
97	476	0.656064
98	592	0.655667
99	633	0.654104
100	300	0.652783
