Dataset: er_100_dense
Vertices: 100
Edges: 1038
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 21.457349
Runtime (seconds): 0.000000
Memory Usage (MB): 0.01

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	63	1.000000
2	56	0.959201
3	52	0.916373
4	59	0.898061
5	93	0.891530
6	74	0.855639
7	50	0.847512
8	3	0.841695
9	95	0.832873
10	94	0.829298
11	24	0.827691
12	58	0.823992
13	79	0.817866
14	40	0.816300
15	89	0.816009
16	83	0.811990
17	65	0.803864
18	90	0.801292
19	9	0.797633
20	53	0.796495
21	32	0.794505
22	78	0.780216
23	1	0.776381
24	99	0.776242
25	68	0.775293
26	13	0.765166
27	73	0.762869
28	76	0.757625
29	87	0.757482
30	85	0.757247
31	15	0.752316
32	36	0.751631
33	41	0.750596
34	38	0.749130
35	61	0.747422
36	100	0.746676
37	62	0.741809
38	11	0.739519
39	47	0.734528
40	28	0.732957
41	97	0.726902
42	18	0.725191
43	84	0.718671
44	81	0.715975
45	37	0.713345
46	44	0.709079
47	19	0.707176
48	88	0.700658
49	6	0.695165
50	23	0.694920
51	71	0.693146
52	12	0.683079
53	98	0.680801
54	10	0.678768
55	29	0.661059
56	54	0.660667
57	77	0.658207
58	33	0.657551
59	4	0.655792
60	39	0.655059
61	30	0.651333
62	42	0.648007
63	55	0.644344
64	92	0.641343
65	80	0.640018
66	5	0.635627
67	2	0.635574
68	96	0.629657
69	64	0.621232
70	72	0.616383
71	43	0.613459
72	48	0.609082
73	46	0.608436
74	75	0.604412
75	17	0.601596
76	20	0.599813
77	31	0.599366
78	34	0.594588
79	14	0.589290
80	45	0.581189
81	22	0.576662
82	82	0.562301
83	8	0.544680
84	21	0.543697
85	27	0.539266
86	91	0.531439
87	60	0.530013
88	70	0.525676
89	16	0.521358
90	86	0.511422
91	49	0.505935
92	26	0.501586
93	51	0.493182
94	69	0.489056
95	67	0.466273
96	25	0.447378
97	57	0.445317
98	7	0.439189
99	66	0.417528
100	35	0.375085
