Dataset: ws_1k_k6_p01
Vertices: 1000
Edges: 3000
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 6.144251
Runtime (seconds): 0.008000
Memory Usage (MB): 0.05

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	470	1.000000
2	478	0.979405
3	475	0.966837
4	754	0.957605
5	476	0.930519
6	297	0.930049
7	298	0.910428
8	474	0.908884
9	472	0.890560
10	479	0.871715
11	760	0.865219
12	480	0.849330
13	757	0.821409
14	916	0.811414
15	471	0.810435
16	159	0.808027
17	296	0.798199
18	299	0.796946
19	153	0.788413
20	295	0.778411
21	300	0.773601
22	302	0.772640
23	481	0.767763
24	293	0.751772
25	473	0.751381
26	17	0.742112
27	468	0.739788
28	477	0.738878
29	294	0.736775
30	761	0.732770
31	758	0.729314
32	344	0.724333
33	755	0.723507
34	756	0.714046
35	301	0.711761
36	482	0.711352
37	123	0.700958
38	13	0.694755
39	128	0.693124
40	469	0.688906
41	919	0.688266
42	762	0.686395
43	82	0.685542
44	525	0.679385
45	553	0.678080
46	918	0.676175
47	735	0.675955
48	484	0.671971
49	736	0.668320
50	19	0.660577
51	753	0.655828
52	292	0.655571
53	156	0.646100
54	16	0.642119
55	150	0.637635
56	467	0.636291
57	483	0.633546
58	121	0.633472
59	557	0.631566
60	303	0.631412
61	763	0.630879
62	409	0.624603
63	759	0.624173
64	15	0.623638
65	739	0.622298
66	556	0.621415
67	352	0.621046
68	157	0.620696
69	125	0.620694
70	18	0.619690
71	126	0.619212
72	79	0.618402
73	158	0.615231
74	737	0.614164
75	291	0.612973
76	120	0.612591
77	124	0.612344
78	306	0.611215
79	160	0.606925
80	286	0.606848
81	734	0.606789
82	728	0.606621
83	154	0.606204
84	738	0.606089
85	674	0.605866
86	408	0.605513
87	14	0.604588
88	316	0.603264
89	410	0.602976
90	951	0.602949
91	952	0.601185
92	127	0.600551
93	733	0.600088
94	751	0.599099
95	203	0.597583
96	83	0.594589
97	729	0.594526
98	740	0.594204
99	152	0.593529
100	732	0.589759
