Dataset: er_500_sparse
Vertices: 500
Edges: 1245
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 6.065769
Runtime (seconds): 0.000000
Memory Usage (MB): 0.02

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	489	1.000000
2	32	0.887308
3	234	0.829631
4	337	0.790352
5	460	0.783720
6	241	0.770203
7	228	0.761707
8	455	0.749513
9	498	0.745010
10	368	0.736782
11	44	0.717693
12	328	0.716379
13	3	0.714577
14	314	0.710522
15	26	0.706504
16	326	0.683207
17	192	0.681303
18	283	0.678906
19	101	0.660047
20	161	0.656946
21	491	0.644173
22	320	0.638766
23	19	0.634047
24	42	0.632226
25	278	0.630752
26	216	0.630707
27	288	0.621215
28	300	0.616000
29	350	0.615415
30	180	0.605555
31	56	0.594328
32	48	0.586640
33	383	0.585172
34	232	0.584672
35	487	0.578385
36	284	0.578052
37	254	0.577558
38	496	0.572901
39	217	0.572161
40	488	0.565915
41	315	0.561169
42	471	0.561087
43	461	0.557477
44	25	0.547036
45	82	0.546824
46	202	0.544396
47	357	0.543649
48	366	0.540126
49	321	0.539092
50	81	0.534494
51	290	0.534088
52	449	0.528191
53	195	0.527443
54	58	0.527356
55	456	0.526029
56	153	0.522250
57	103	0.516558
58	364	0.508604
59	126	0.508347
60	152	0.507516
61	63	0.502956
62	8	0.500283
63	199	0.494730
64	87	0.494483
65	351	0.492692
66	285	0.492057
67	69	0.491314
68	463	0.489608
69	296	0.489124
70	286	0.485259
71	420	0.480563
72	459	0.469682
73	404	0.468799
74	209	0.467953
75	304	0.466455
76	453	0.464564
77	141	0.464529
78	308	0.463612
79	130	0.463402
80	165	0.462658
81	343	0.460768
82	246	0.460358
83	221	0.459925
84	137	0.458630
85	301	0.454879
86	414	0.453146
87	372	0.452523
88	470	0.448999
89	245	0.447195
90	396	0.447115
91	369	0.446231
92	299	0.444210
93	164	0.443292
94	1	0.440804
95	76	0.438712
96	352	0.438236
97	256	0.435908
98	166	0.435533
99	51	0.435093
100	439	0.434210
