Dataset: ba_5k_m5
Vertices: 5000
Edges: 24975
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 24.638180
Runtime (seconds): 0.016000
Memory Usage (MB): 0.34

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	1	1.000000
2	7	0.845266
3	8	0.695734
4	6	0.571878
5	13	0.530569
6	3	0.508472
7	10	0.498358
8	5	0.493515
9	27	0.469898
10	14	0.464356
11	25	0.426026
12	19	0.402201
13	11	0.370841
14	30	0.358899
15	9	0.353828
16	29	0.341252
17	70	0.338294
18	18	0.338031
19	16	0.326165
20	12	0.305529
21	17	0.301360
22	28	0.299866
23	31	0.297311
24	24	0.271314
25	20	0.266760
26	37	0.251885
27	48	0.251547
28	39	0.227455
29	15	0.227227
30	34	0.221906
31	71	0.216195
32	26	0.214068
33	47	0.212632
34	61	0.211229
35	45	0.210642
36	57	0.202196
37	23	0.201320
38	2	0.201010
39	33	0.195042
40	50	0.194790
41	38	0.191671
42	32	0.191637
43	4	0.191564
44	22	0.189925
45	40	0.182927
46	41	0.181163
47	76	0.176941
48	62	0.172409
49	36	0.169952
50	42	0.167844
51	83	0.164683
52	35	0.160409
53	90	0.157315
54	60	0.157096
55	43	0.153675
56	65	0.151605
57	51	0.149086
58	85	0.146713
59	74	0.145520
60	59	0.145393
61	46	0.143933
62	64	0.143585
63	63	0.142615
64	116	0.139685
65	52	0.138514
66	21	0.138320
67	91	0.138111
68	44	0.137101
69	81	0.135986
70	87	0.135214
71	112	0.135142
72	77	0.133746
73	86	0.130930
74	188	0.129795
75	205	0.129534
76	122	0.128299
77	98	0.128162
78	58	0.127937
79	154	0.127857
80	152	0.127324
81	68	0.126714
82	95	0.126420
83	84	0.126253
84	54	0.126023
85	391	0.125401
86	169	0.124523
87	75	0.123676
88	94	0.121771
89	141	0.121237
90	501	0.120996
91	202	0.120988
92	144	0.119808
93	129	0.116957
94	621	0.116929
95	484	0.116817
96	215	0.116533
97	69	0.116419
98	276	0.116212
99	151	0.113714
100	204	0.113645
