Dataset: er_500_sparse
Vertices: 500
Edges: 1338
Max Katz Centrality: 1.000000
Alpha Parameter: 0.131195
Runtime (seconds): 0.001000
Memory Usage (MB): 0.03

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	449	1.000000
2	384	0.981901
3	196	0.942915
4	373	0.941208
5	348	0.896883
6	338	0.876886
7	294	0.868817
8	114	0.857423
9	1	0.850197
10	85	0.800993
11	138	0.794706
12	167	0.788928
13	229	0.776312
14	163	0.771628
15	462	0.754389
16	66	0.743203
17	402	0.736895
18	30	0.728348
19	339	0.721580
20	429	0.701969
21	311	0.694689
22	351	0.694521
23	467	0.692921
24	35	0.692596
25	122	0.691717
26	344	0.690254
27	104	0.689075
28	102	0.685757
29	500	0.671924
30	362	0.669982
31	337	0.666367
32	287	0.666004
33	217	0.653651
34	345	0.653090
35	116	0.651731
36	62	0.649877
37	486	0.641515
38	87	0.631295
39	3	0.629842
40	319	0.629083
41	389	0.628346
42	150	0.628291
43	466	0.626878
44	413	0.626809
45	38	0.624644
46	493	0.621513
47	275	0.619496
48	403	0.616478
49	186	0.614138
50	288	0.611785
51	60	0.611478
52	274	0.605203
53	454	0.604878
54	316	0.604597
55	252	0.604233
56	309	0.602488
57	336	0.598149
58	365	0.594409
59	182	0.594079
60	405	0.593718
61	47	0.592304
62	267	0.590758
63	241	0.589546
64	6	0.587187
65	488	0.584572
66	286	0.584012
67	42	0.583754
68	341	0.583561
69	266	0.582493
70	321	0.581512
71	343	0.575905
72	442	0.575685
73	192	0.573995
74	463	0.572703
75	446	0.572149
76	155	0.570767
77	400	0.569961
78	125	0.565163
79	279	0.560358
80	273	0.559896
81	36	0.555318
82	455	0.553288
83	354	0.552047
84	234	0.551726
85	382	0.551236
86	20	0.551158
87	32	0.549284
88	424	0.547942
89	457	0.547001
90	80	0.545896
91	213	0.543544
92	399	0.543298
93	67	0.542816
94	370	0.541856
95	128	0.541746
96	320	0.541364
97	289	0.540499
98	50	0.535831
99	71	0.535454
100	479	0.533091
