Dataset: er_5k_dense
Vertices: 5000
Edges: 37524
Max Katz Centrality: 1.000000
Alpha Parameter: 0.052811
Runtime (seconds): 0.051000
Memory Usage (MB): 0.44

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	3226	1.000000
2	4320	0.977205
3	2486	0.877391
4	1117	0.874192
5	10	0.874183
6	2976	0.867166
7	4891	0.863109
8	1452	0.849220
9	4129	0.845772
10	3736	0.838786
11	215	0.838456
12	3394	0.836932
13	933	0.836110
14	519	0.833910
15	3146	0.833649
16	4124	0.833042
17	4927	0.831765
18	534	0.830224
19	4608	0.825839
20	1396	0.818876
21	2320	0.815797
22	1720	0.814227
23	4886	0.813379
24	861	0.806415
25	3797	0.804221
26	3991	0.803869
27	2323	0.802310
28	1892	0.801299
29	643	0.798276
30	1316	0.798210
31	3250	0.795747
32	2957	0.794956
33	3411	0.790735
34	1995	0.788400
35	2625	0.788254
36	144	0.784642
37	1797	0.782711
38	768	0.781849
39	3920	0.781033
40	664	0.780508
41	196	0.778803
42	3189	0.777417
43	2237	0.776208
44	887	0.775887
45	1170	0.774000
46	2988	0.773950
47	3315	0.771423
48	1983	0.771412
49	3521	0.770821
50	1394	0.770184
51	538	0.769773
52	1227	0.768499
53	4164	0.768273
54	4764	0.767641
55	2676	0.767454
56	2585	0.765831
57	2615	0.765500
58	4540	0.764676
59	3496	0.763520
60	1600	0.762193
61	4618	0.761744
62	4495	0.760747
63	16	0.757695
64	3941	0.755299
65	3904	0.754850
66	851	0.754553
67	4599	0.753046
68	4563	0.749860
69	1464	0.749399
70	1407	0.749240
71	1966	0.748793
72	4913	0.747351
73	120	0.745242
74	4375	0.744472
75	1574	0.743627
76	402	0.743401
77	4374	0.743054
78	892	0.742622
79	2224	0.742145
80	2563	0.741768
81	1424	0.740862
82	657	0.740414
83	3865	0.738878
84	1042	0.738631
85	4826	0.738536
86	893	0.737964
87	4103	0.737893
88	2035	0.737109
89	2544	0.736947
90	2582	0.736874
91	82	0.736836
92	3439	0.736760
93	3693	0.736611
94	1562	0.735039
95	4936	0.734200
96	2127	0.733027
97	2245	0.732816
98	4006	0.732522
99	1333	0.732487
100	4370	0.732186
