Dataset: ba_10k_m3
Vertices: 10000
Edges: 29991
Max Katz Centrality: 1.000000
Alpha Parameter: 0.044510
Runtime (seconds): 0.075000
Memory Usage (MB): 0.53

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	1	1.000000
2	6	0.641810
3	3	0.590839
4	7	0.501733
5	10	0.416375
6	13	0.407407
7	5	0.391091
8	9	0.379848
9	8	0.367255
10	19	0.323467
11	12	0.319446
12	11	0.304625
13	2	0.283659
14	20	0.252091
15	22	0.245628
16	17	0.243349
17	46	0.239507
18	48	0.237132
19	26	0.235274
20	15	0.229865
21	14	0.229031
22	65	0.219015
23	24	0.208925
24	30	0.208325
25	32	0.199257
26	33	0.196679
27	35	0.172457
28	21	0.169068
29	58	0.168647
30	67	0.165279
31	27	0.161629
32	31	0.156461
33	62	0.154620
34	107	0.153940
35	37	0.145001
36	18	0.137728
37	28	0.137671
38	34	0.137558
39	61	0.136465
40	64	0.135423
41	39	0.134874
42	16	0.132543
43	42	0.131383
44	36	0.130752
45	45	0.130215
46	88	0.128818
47	51	0.128645
48	38	0.128209
49	47	0.125702
50	118	0.124169
51	73	0.122421
52	108	0.119300
53	803	0.119224
54	152	0.118811
55	105	0.118469
56	124	0.118209
57	72	0.118115
58	76	0.117530
59	75	0.115399
60	59	0.112533
61	109	0.110364
62	101	0.109572
63	180	0.109551
64	149	0.109285
65	82	0.108318
66	81	0.108042
67	250	0.107940
68	66	0.107261
69	303	0.106373
70	86	0.106294
71	244	0.105530
72	178	0.104600
73	55	0.104569
74	84	0.104348
75	41	0.103954
76	183	0.103837
77	314	0.103660
78	74	0.102988
79	218	0.102903
80	53	0.101607
81	141	0.101538
82	145	0.100846
83	103	0.100127
84	68	0.099585
85	128	0.099207
86	405	0.099116
87	150	0.098597
88	135	0.097868
89	54	0.097298
90	93	0.097250
91	194	0.096760
92	2997	0.096699
93	155	0.096330
94	63	0.095263
95	56	0.093817
96	133	0.093639
97	140	0.092638
98	115	0.092200
99	182	0.091939
100	95	0.091692
