Dataset: er_100_sparse
Vertices: 100
Edges: 249
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.000000
Memory Usage (MB): 0.00

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	19	1.000000
2	9	0.968850
3	69	0.958532
4	68	0.951302
5	36	0.891106
6	90	0.876365
7	92	0.863099
8	99	0.838361
9	71	0.821240
10	53	0.804512
11	8	0.801646
12	32	0.782301
13	89	0.735706
14	81	0.710396
15	48	0.699948
16	20	0.689218
17	79	0.687410
18	78	0.680050
19	44	0.676902
20	13	0.667799
21	42	0.656527
22	45	0.628613
23	52	0.626628
24	55	0.626019
25	98	0.624448
26	88	0.624195
27	26	0.620354
28	41	0.619246
29	40	0.616057
30	39	0.615539
31	59	0.613417
32	6	0.602931
33	1	0.596565
34	51	0.595186
35	61	0.591633
36	67	0.588184
37	100	0.573601
38	28	0.558677
39	72	0.553445
40	34	0.552433
41	27	0.546645
42	29	0.542682
43	2	0.540919
44	80	0.538121
45	70	0.537802
46	47	0.533676
47	85	0.531816
48	82	0.528716
49	58	0.528118
50	54	0.524663
51	46	0.518330
52	4	0.517402
53	91	0.517053
54	86	0.514727
55	57	0.511948
56	94	0.509353
57	11	0.486974
58	30	0.486927
59	3	0.482127
60	5	0.480790
61	33	0.478934
62	56	0.460202
63	50	0.455608
64	14	0.453420
65	66	0.448055
66	87	0.445664
67	43	0.442687
68	97	0.439654
69	49	0.439508
70	31	0.436735
71	24	0.436241
72	38	0.432609
73	17	0.426100
74	75	0.423281
75	22	0.421140
76	77	0.420899
77	23	0.419907
78	93	0.382848
79	35	0.370527
80	25	0.366565
81	12	0.365575
82	95	0.364275
83	84	0.360332
84	62	0.356821
85	63	0.350975
86	64	0.343653
87	73	0.340767
88	74	0.338692
89	21	0.336747
90	65	0.291559
91	76	0.282397
92	7	0.280832
93	18	0.278357
94	96	0.276203
95	15	0.274785
96	83	0.272077
97	37	0.269587
98	60	0.252385
99	10	0.243665
100	16	0.177477
