Dataset: er_5k_sparse
Vertices: 5000
Edges: 12574
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.009000
Memory Usage (MB): 0.25

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	3787	1.000000
2	785	0.967977
3	2804	0.953037
4	281	0.916472
5	2117	0.886757
6	3310	0.861331
7	343	0.857954
8	115	0.838819
9	1363	0.835133
10	2178	0.831724
11	3984	0.812224
12	4572	0.796287
13	942	0.794900
14	4609	0.783590
15	4822	0.773997
16	2813	0.770130
17	4248	0.767545
18	3450	0.761322
19	1148	0.757453
20	420	0.748145
21	895	0.747534
22	513	0.741358
23	3823	0.735492
24	1300	0.729637
25	1230	0.728938
26	1691	0.727146
27	1560	0.723786
28	2802	0.723684
29	4712	0.723514
30	2247	0.723382
31	446	0.719320
32	1784	0.717621
33	4267	0.714032
34	1674	0.712237
35	1751	0.712224
36	3979	0.711748
37	4064	0.710680
38	4963	0.706456
39	1058	0.705204
40	3215	0.703766
41	2296	0.702452
42	3930	0.702039
43	4661	0.701971
44	888	0.701877
45	4339	0.700920
46	1752	0.700137
47	3213	0.700101
48	2272	0.699826
49	4460	0.699797
50	2371	0.698251
51	561	0.698157
52	1777	0.697964
53	3370	0.697119
54	2372	0.696320
55	898	0.696178
56	3600	0.694682
57	843	0.692635
58	4355	0.692476
59	3497	0.691759
60	4512	0.691612
61	2257	0.690369
62	224	0.687161
63	3937	0.686768
64	1799	0.685131
65	2978	0.684440
66	2718	0.684036
67	2862	0.683172
68	4242	0.680242
69	911	0.679767
70	626	0.675813
71	2391	0.674582
72	322	0.674019
73	3750	0.673883
74	2526	0.672919
75	1221	0.672516
76	367	0.670854
77	3440	0.670797
78	4898	0.669228
79	3956	0.667243
80	4095	0.666445
81	4783	0.662363
82	3032	0.661777
83	4598	0.661316
84	3546	0.661044
85	4770	0.660798
86	1435	0.660227
87	2925	0.658294
88	2206	0.658058
89	3527	0.657828
90	2824	0.657404
91	3001	0.655409
92	4413	0.655235
93	1557	0.654748
94	3673	0.654701
95	3488	0.654532
96	2461	0.654458
97	15	0.654416
98	3459	0.653840
99	3627	0.652603
100	4298	0.652515
