Dataset: ba_1k_m3
Vertices: 1000
Edges: 2991
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.001000
Memory Usage (MB): 0.05

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	5	1.000000
2	6	0.748505
3	12	0.694327
4	1	0.542656
5	17	0.530287
6	9	0.519093
7	2	0.415545
8	22	0.401412
9	15	0.389901
10	23	0.389884
11	20	0.369225
12	43	0.353084
13	13	0.348198
14	36	0.327292
15	21	0.308758
16	7	0.301273
17	10	0.283821
18	76	0.270188
19	51	0.264299
20	85	0.259243
21	4	0.257802
22	8	0.256065
23	94	0.249168
24	56	0.247570
25	73	0.241963
26	25	0.235864
27	64	0.228997
28	44	0.209901
29	98	0.209885
30	168	0.203171
31	11	0.202866
32	53	0.200834
33	70	0.200397
34	19	0.193221
35	27	0.192570
36	14	0.192159
37	115	0.192087
38	18	0.188550
39	131	0.188288
40	57	0.186027
41	28	0.182939
42	35	0.180522
43	38	0.179363
44	183	0.174230
45	153	0.172669
46	119	0.171932
47	145	0.171139
48	75	0.170262
49	81	0.167492
50	135	0.166281
51	37	0.165883
52	63	0.165419
53	200	0.164429
54	16	0.158731
55	47	0.155780
56	33	0.155762
57	84	0.149654
58	148	0.142014
59	46	0.139668
60	139	0.138002
61	143	0.137111
62	103	0.136477
63	32	0.134778
64	137	0.132098
65	78	0.130111
66	68	0.129627
67	174	0.129539
68	125	0.129274
69	106	0.128912
70	87	0.128407
71	152	0.128229
72	128	0.127072
73	50	0.126704
74	26	0.126656
75	41	0.125490
76	254	0.124596
77	186	0.123121
78	211	0.122862
79	204	0.122667
80	371	0.122569
81	97	0.121770
82	220	0.121442
83	100	0.121253
84	267	0.121017
85	130	0.120040
86	121	0.119851
87	144	0.119129
88	77	0.119106
89	62	0.118516
90	29	0.117862
91	74	0.117757
92	460	0.116488
93	166	0.115003
94	34	0.114214
95	322	0.114065
96	479	0.113917
97	191	0.113813
98	149	0.113439
99	434	0.113241
100	404	0.112584
