Dataset: ws_1k_k10_p03
Vertices: 1000
Edges: 5000
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.001000
Memory Usage (MB): 0.07

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	173	1.000000
2	288	0.997685
3	626	0.994016
4	557	0.991530
5	554	0.981708
6	261	0.980281
7	854	0.942457
8	124	0.933681
9	113	0.932613
10	157	0.929272
11	975	0.929094
12	218	0.921060
13	524	0.888606
14	952	0.884118
15	789	0.883446
16	96	0.877339
17	796	0.876678
18	501	0.876486
19	294	0.876061
20	879	0.875871
21	244	0.874510
22	431	0.873780
23	934	0.873214
24	494	0.873156
25	86	0.872432
26	994	0.871553
27	770	0.871204
28	577	0.871031
29	281	0.870889
30	608	0.870815
31	774	0.869529
32	745	0.869244
33	319	0.869145
34	574	0.867434
35	150	0.867274
36	240	0.867082
37	425	0.865469
38	987	0.864947
39	985	0.864604
40	460	0.864459
41	799	0.863441
42	359	0.863209
43	595	0.862870
44	186	0.862281
45	803	0.862251
46	761	0.861832
47	753	0.861358
48	805	0.860941
49	405	0.860421
50	191	0.860342
51	543	0.858959
52	649	0.858927
53	361	0.857891
54	650	0.857079
55	535	0.856790
56	820	0.855595
57	905	0.854655
58	193	0.853944
59	503	0.827884
60	705	0.826796
61	275	0.826569
62	680	0.824928
63	316	0.824661
64	380	0.823021
65	466	0.822693
66	581	0.821004
67	54	0.820775
68	394	0.820564
69	838	0.820535
70	686	0.819761
71	290	0.819621
72	209	0.819318
73	616	0.819117
74	442	0.818794
75	259	0.817728
76	215	0.817677
77	81	0.817545
78	786	0.817306
79	784	0.816967
80	634	0.816227
81	499	0.816189
82	336	0.816020
83	692	0.815852
84	711	0.815815
85	370	0.815772
86	1000	0.815257
87	459	0.814996
88	578	0.814736
89	384	0.814208
90	587	0.814082
91	585	0.813838
92	282	0.813596
93	225	0.813380
94	20	0.813303
95	889	0.812809
96	39	0.812626
97	887	0.812527
98	945	0.812269
99	231	0.812219
100	972	0.812195
