Dataset: cliques_5x20
Vertices: 100
Edges: 960
Max K-Core: 19
Runtime (seconds): 0.000000
Memory Usage (MB): 0.01

=== Core Distribution ===
Core	Count	Percentage
19	100	100.00%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	19
2	2	19
3	3	19
4	4	19
5	5	19
6	6	19
7	7	19
8	8	19
9	9	19
10	10	19
11	11	19
12	12	19
13	13	19
14	14	19
15	15	19
16	16	19
17	17	19
18	18	19
19	19	19
20	20	19
21	21	19
22	22	19
23	23	19
24	24	19
25	25	19
26	26	19
27	27	19
28	28	19
29	29	19
30	30	19
31	31	19
32	32	19
33	33	19
34	34	19
35	35	19
36	36	19
37	37	19
38	38	19
39	39	19
40	40	19
41	41	19
42	42	19
43	43	19
44	44	19
45	45	19
46	46	19
47	47	19
48	48	19
49	49	19
50	50	19
51	51	19
52	52	19
53	53	19
54	54	19
55	55	19
56	56	19
57	57	19
58	58	19
59	59	19
60	60	19
61	61	19
62	62	19
63	63	19
64	64	19
65	65	19
66	66	19
67	67	19
68	68	19
69	69	19
70	70	19
71	71	19
72	72	19
73	73	19
74	74	19
75	75	19
76	76	19
77	77	19
78	78	19
79	79	19
80	80	19
81	81	19
82	82	19
83	83	19
84	84	19
85	85	19
86	86	19
87	87	19
88	88	19
89	89	19
90	90	19
91	91	19
92	92	19
93	93	19
94	94	19
95	95	19
96	96	19
97	97	19
98	98	19
99	99	19
100	100	19
