Dataset: ws_1k_k6_p01
Vertices: 1000
Edges: 3000
Max K-Core: 4
Runtime (seconds): 0.000000
Memory Usage (MB): 0.06

=== Core Distribution ===
Core	Count	Percentage
3	2	0.20%
4	998	99.80%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	4
2	2	4
3	3	4
4	4	4
5	5	4
6	6	4
7	7	4
8	8	4
9	9	4
10	10	4
11	11	4
12	12	4
13	13	4
14	14	4
15	15	4
16	16	4
17	17	4
18	18	4
19	19	4
20	20	4
21	21	4
22	22	4
23	23	4
24	24	4
25	25	4
26	26	4
27	27	4
28	28	4
29	29	4
30	30	4
31	31	4
32	32	4
33	33	4
34	34	4
35	35	4
36	36	4
37	37	4
38	38	4
39	39	4
40	40	4
41	41	4
42	42	4
43	43	4
44	44	4
45	45	4
46	46	4
47	47	4
48	48	4
49	49	4
50	50	4
51	51	4
52	52	4
53	53	4
54	54	4
55	55	4
56	56	4
57	57	4
58	58	4
59	59	4
60	60	4
61	61	4
62	62	4
63	63	4
64	64	4
65	65	4
66	66	4
67	67	4
68	68	4
69	69	4
70	70	4
71	71	4
72	72	4
73	73	4
74	74	4
75	75	4
76	76	4
77	77	4
78	78	4
79	79	4
80	80	4
81	81	4
82	82	4
83	83	4
84	84	4
85	85	4
86	86	4
87	87	4
88	88	4
89	89	4
90	90	4
91	91	4
92	92	4
93	93	4
94	94	4
95	95	4
96	96	4
97	97	4
98	98	4
99	99	4
100	100	4
