Dataset: er_10k_sparse
Vertices: 10000
Edges: 25023
Max K-Core: 3
Runtime (seconds): 0.002000
Memory Usage (MB): 0.57

=== Core Distribution ===
Core	Count	Percentage
0	63	0.63%
1	342	3.42%
2	1041	10.41%
3	8554	85.54%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	3
2	2	3
3	3	3
4	5	3
5	6	3
6	7	3
7	8	3
8	9	3
9	10	3
10	11	3
11	12	3
12	13	3
13	14	3
14	15	3
15	16	3
16	18	3
17	19	3
18	20	3
19	21	3
20	23	3
21	24	3
22	25	3
23	26	3
24	27	3
25	28	3
26	29	3
27	30	3
28	33	3
29	34	3
30	35	3
31	36	3
32	37	3
33	38	3
34	41	3
35	42	3
36	43	3
37	44	3
38	45	3
39	46	3
40	47	3
41	48	3
42	49	3
43	50	3
44	51	3
45	52	3
46	53	3
47	56	3
48	57	3
49	58	3
50	59	3
51	62	3
52	63	3
53	66	3
54	67	3
55	69	3
56	70	3
57	71	3
58	73	3
59	75	3
60	77	3
61	78	3
62	79	3
63	80	3
64	81	3
65	82	3
66	83	3
67	84	3
68	85	3
69	86	3
70	88	3
71	91	3
72	93	3
73	94	3
74	96	3
75	97	3
76	98	3
77	99	3
78	100	3
79	101	3
80	103	3
81	104	3
82	105	3
83	107	3
84	108	3
85	111	3
86	113	3
87	114	3
88	115	3
89	116	3
90	117	3
91	118	3
92	119	3
93	120	3
94	121	3
95	122	3
96	123	3
97	124	3
98	125	3
99	126	3
100	127	3
