# Directed graph (each unordered pair of nodes is saved once): Cit-HepTh.txt 
# Paper citation network of Arxiv High Energy Physics Theory category
# Nodes: 27770 Edges: 352807
# FromNodeId	ToNodeId
1001	9304045
1001	9308122
1001	9309097
1001	9311042
1001	9401139
1001	9404151
1001	9407087
1001	9408099
1001	9501030
1001	9503124
1001	9504090
1001	9504145
1001	9505025
1001	9505054
1001	9505105
1001	9505162
1001	9506048
1001	9506112
1001	9506144
1001	9507050
1001	9507158
1001	9508094
1001	9508155
1001	9510142
1001	9510225
1001	9510234
1001	9511030
1001	9511171
1001	9601108
1001	9602022
1001	9602114
1001	9603003
1001	9603150
1001	9603161
1001	9603167
1001	9605184
1001	9605222
1001	9606017
1001	9606040
1001	9607163
1001	9607207
1001	9608086
1001	9609070
1001	9609071
1001	9609239
1001	9611137
1001	9612108
1001	9701162
1001	9702094
1001	9702155
1001	9702198
1001	9703082
1001	9703166
1001	9704097
1001	9705030
1001	9705044
1001	9705104
1001	9705220
1001	9706005
1001	9707014
1001	9707042
1001	9707049
1001	9710230
1001	9711036
1001	9711104
1001	9712028
1001	9712042
1001	9802194
1001	9805056
1001	9805206
1001	9806094
1001	9810188
1001	9811217
1001	9905036
1001	9907041
1001	9908007
1001	9908144
1001	9909108
1001	9909120
1001	9909229
1001	9910238
1001	9910248
1001	9910268
9304045	9204040
9308122	9203084
9308122	9204035
9308122	9205041
9308122	9207049
9308122	9207111
9308122	9301042
9308122	9301043
9309097	9203084
9309097	9205041
9309097	9301042
9309097	9301043
9311042	9301042
9311042	9301043
9401139	9201015
9401139	9201040
9401139	9201047
9401139	9202046
9401139	9202059
9401139	9202092
9401139	9203008
9401139	9203031
9401139	9204035
9401139	9204037
9401139	9204040
9401139	9204046
9401139	9205046
9401139	9205060
9401139	9205062
9401139	9205068
9401139	9206023
9401139	9206051
9401139	9206078
9401139	9207016
9401139	9207049
9401139	9207111
9401139	9208076
9401139	9209052
9401139	9210015
9401139	9210021
9401139	9210121
9401139	9211021
9401139	9211041
9401139	9212089
9401139	9301005
9401139	9301042
9401139	9301043
9401139	9302033
9401139	9302069
9401139	9302126
9401139	9303032
9401139	9304155
9401139	9305185
9401139	9308042
9404151	9305139
9404151	9309140
9407087	9204102
9407087	9211097
9407087	9401139
9407087	9402002
9407087	9402005
9407087	9402044
9407087	9403195
9407087	9403198
9407087	9406128
9408099	9204102
9408099	9211097
9408099	9402002
9408099	9402005
9408099	9402044
9408099	9403198
9408099	9407087
9501030	9205081
9501030	9207053
9501030	9208055
9501030	9209016
9501030	9211056
9501030	9303057
9501030	9305142
9501030	9305185
9501030	9306052
9501030	9306125
9501030	9311120
9501030	9402002
9501030	9402032
9501030	9406105
9501030	9406128
9501030	9406198
9501030	9407021
9501030	9407087
9501030	9407111
9501030	9408040
9501030	9408074
9501030	9408083
9501030	9408099
9501030	9409021
9501030	9410167
9501030	9410210
9501030	9412184
9503124	9205027
9503124	9401139
9503124	9402002
9503124	9406012
9503124	9407087
9503124	9407111
9503124	9408083
9503124	9411149
9503124	9411178
9503124	9501030
9504090	9201059
9504090	9309097
9504090	9309152
9504090	9407087
9504145	9301042
9504145	9309097
9505025	9301042
9505025	9309097
9505025	9310067
9505025	9402002
9505025	9404151
9505025	9410167
9505025	9412115
9505025	9501030
9505025	9501068
9505025	9502072
9505025	9503124
9505025	9504027
9505025	9504047
9505025	9504090
9505054	9304154
9505054	9402002
9505054	9410167
9505054	9411149
9505054	9501022
9505054	9502057
9505054	9503124
9505054	9503179
9505054	9504027
9505054	9504047
9505105	9308083
9505105	9308122
9505105	9402002
9505105	9407087
9505105	9408099
9505105	9410167
9505105	9411048
9505105	9411057
9505105	9501111
9505105	9502077
9505105	9503124
9505105	9503163
9505105	9504006
9505105	9504027
9505105	9504034
9505105	9504047
9505105	9504090
9505105	9504145
9505105	9505023
9505105	9505053
9505105	9505062
9505162	9302103
9505162	9305069
9505162	9305185
9505162	9309140
9505162	9402044
9505162	9404151
9505162	9406032
9505162	9407087
9505162	9408099
9505162	9409188
9505162	9410167
9505162	9411048
9505162	9501030
9505162	9501068
9505162	9502072
9505162	9503124
9505162	9504006
9505162	9504027
9505162	9504034
9505162	9504047
9505162	9504090
9505162	9504145
9505162	9505023
9505162	9505053
9505162	9505105
9506048	9402002
9506048	9410167
9506048	9501030
9506048	9503124
9506048	9504047
9506048	9505054
9506048	9505162
9506112	9308083
9506112	9308122
9506112	9406055
9506112	9407087
9506112	9408036
9506112	9408099
9506112	9411048
9506112	9411234
9506112	9412200
9506112	9502072
9506112	9504006
9506112	9504034
9506112	9504090
9506112	9505105
9506112	9505162
9506112	9506075
9506112	9506091
9506144	9407087
9506144	9408036
9506144	9408099
9506144	9411048
9506144	9412200
9506144	9501030
9506144	9501068
9506144	9502072
9506144	9503124
9506144	9504145
9506144	9505105
9506144	9505162
9506144	9506024
9506144	9506075
9506144	9506112
9507050	9305185
9507050	9308083
9507050	9404151
9507050	9407087
9507050	9410167
9507050	9411234
9507050	9503124
9507050	9504090
9507050	9504145
9507050	9505054
9507050	9505105
9507050	9505162
9507050	9506048
9507050	9506077
9507050	9506110
9507050	9506112
9507050	9506160
9507050	9506194
9507050	9507027
9507158	9207060
9507158	9410167
9507158	9501068
9507158	9502072
9507158	9503124
9507158	9503212
9507158	9504047
9507158	9504090
9507158	9504145
9507158	9505105
9507158	9505162
9507158	9506126
9507158	9506144
9507158	9506150
9507158	9506194
9507158	9507048
9508094	9205027
9508094	9207053
9508094	9303057
9508094	9303106
9508094	9305142
9508094	9305185
9508094	9306052
9508094	9311120
9508094	9402002
9508094	9404151
9508094	9406105
9508094	9406198
9508094	9407111
9508094	9408083
9508094	9410073
9508094	9410167
9508094	9411187
9508094	9412184
9508094	9412200
9508094	9501030
9508094	9503124
9508094	9504027
9508094	9504047
9508094	9504081
9508094	9504095
9508094	9506057
9508094	9506126
9508094	9507090
9508094	9508056
9508155	9304135
9508155	9308083
9508155	9308122
9508155	9309140
9508155	9406055
9508155	9407087
9508155	9408036
9508155	9410167
9508155	9411048
9508155	9411057
9508155	9412209
9508155	9501030
9508155	9501068
9508155	9502072
9508155	9503124
9508155	9503163
9508155	9504006
9508155	9504027
9508155	9504034
9508155	9504090
9508155	9504145
9508155	9505023
9508155	9505053
9508155	9505062
9508155	9505073
9508155	9505105
9508155	9505150
9508155	9505162
9508155	9506024
9508155	9506075
9508155	9506077
9508155	9506084
9508155	9506102
9508155	9506110
9508155	9506112
9508155	9506150
9508155	9506160
9508155	9506194
9508155	9507027
9508155	9507050
9508155	9507113
9508155	9507115
9508155	9507121
9508155	9507151
9508155	9507153
9508155	9507158
9508155	9507168
9508155	9508044
9508155	9508064
9508155	9508071
9508155	9508096
9508155	9508143
9508155	9508144
9510142	9404151
9510142	9406032
9510142	9407087
9510142	9408099
9510142	9409110
9510142	9409188
9510142	9410167
9510142	9501030
9510142	9503124
9510142	9503208
9510142	9504090
9510142	9504145
9510142	9505025
9510142	9505105
9510142	9505162
9510142	9506048
9510142	9506075
9510142	9506110
9510142	9506112
9510142	9507012
9510142	9507050
9510142	9507113
9510142	9507121
9510142	9508144
9510142	9508154
9510142	9508155
9510142	9509009
9510142	9510093
9510225	9201056
9510225	9206080
9510225	9301083
9510225	9307158
9510225	9308062
9510225	9407031
9510225	9407087
9510225	9410167
9510225	9503124
9510225	9504090
9510225	9505023
9510225	9505105
9510225	9506112
9510225	9506122
9510225	9507012
9510225	9507115
9510225	9507121
9510225	9508143
9510225	9509066
9510225	9510135
9510225	9510142
9510225	9510169
9510234	9202046
9510234	9204030
9510234	9205009
9510234	9301042
9510234	9301043
9510234	9302103
9510234	9307158
9510234	9308083
9510234	9309097
9510234	9309140
9510234	9311042
9510234	9404151
9510234	9406055
9510234	9408099
9510234	9409110
9510234	9410167
9510234	9501030
9510234	9502072
9510234	9503124
9510234	9504006
9510234	9504027
9510234	9504145
9510234	9505105
9510234	9505162
9510234	9506075
9510234	9506110
9510234	9506112
9510234	9507050
9510234	9507113
9510234	9507115
9510234	9507151
9510234	9507153
9510234	9508064
9510234	9508155
9510234	9509009
9510234	9510093
9510234	9510142
9511030	9305142
9511030	9305185
9511030	9306052
9511030	9406198
9511030	9407031
9511030	9407087
9511030	9407111
9511030	9412184
9511030	9501030
9511030	9503124
9511030	9504027
9511030	9504047
9511030	9504090
9511030	9505105
9511030	9506160
9511030	9506194
9511030	9507121
9511030	9510017
9511030	9510135
9511030	9510169
9511030	9510173
9511171	9311042
9511171	9404151
9511171	9407087
9511171	9408099
9511171	9410167
9511171	9411048
9511171	9503124
9511171	9504047
9511171	9504145
9511171	9505105
9511171	9505162
9511171	9506112
9511171	9507012
9511171	9507050
9511171	9507121
9511171	9508155
9511171	9510093
9511171	9510142
9511171	9510182
9511171	9510225
9511171	9510234
9511171	9511030
9601108	9301042
9601108	9302103
9601108	9308083
9601108	9308122
9601108	9309097
9601108	9311042
9601108	9404151
9601108	9406055
9601108	9407087
9601108	9410167
9601108	9412236
9601108	9501030
9601108	9502072
9601108	9503124
9601108	9504047
9601108	9504090
9601108	9504145
9601108	9505023
9601108	9505025
9601108	9505105
9601108	9505162
9601108	9506091
9601108	9507012
9601108	9507121
9601108	9507158
9601108	9508155
9601108	9510135
9601108	9510142
9601108	9510225
9601108	9510234
9601108	9511164
9601108	9511171
9601108	9511222
9601108	9512016
9601108	9512017
9601108	9512059
9601108	9512145
9601108	9601014
9601108	9601038
9602022	9206101
